Datetime,OFITick,OFITick_log
1900-01-01 13:30:00.100,-6.0,-3.9896982778141297
1900-01-01 13:30:00.200,19.0,-5.909786525490706
1900-01-01 13:30:00.300,-260.0,-14.109895293767464
1900-01-01 13:30:00.400,95.0,15.367084227873962
1900-01-01 13:30:00.500,-189.0,-31.085652739228856
1900-01-01 13:30:00.600,14.0,5.76794774053614
1900-01-01 13:30:00.700,-104.0,-3.013484219012442
1900-01-01 13:30:00.800,34.0,3.9469900553250032
1900-01-01 13:30:00.900,9.0,-5.724400735342476
1900-01-01 13:30:01.000,0.0,0.0
1900-01-01 13:30:01.100,-68.0,0.2731735433904183
1900-01-01 13:30:01.200,-7.0,-0.3067302674224756
1900-01-01 13:30:01.300,-2.0,-0.0194180858571018
1900-01-01 13:30:01.400,0.0,0.4111415661129696
1900-01-01 13:30:01.500,37.0,-0.1839595587981928
1900-01-01 13:30:01.600,31.0,0.7651577165362182
1900-01-01 13:30:01.700,-55.0,-7.965545573129991
1900-01-01 13:30:01.800,0.0,8.068402958569699
1900-01-01 13:30:01.900,9.0,0.3089322492742052
1900-01-01 13:30:02.000,0.0,0.0
1900-01-01 13:30:02.100,-59.0,5.833602569705302
1900-01-01 13:30:02.200,66.0,1.119231575870845
1900-01-01 13:30:02.300,0.0,0.2204027037829825
1900-01-01 13:30:02.400,0.0,0.3334072807855932
1900-01-01 13:30:02.500,0.0,-8.211818486285388
1900-01-01 13:30:02.600,-130.0,8.385523729545993
1900-01-01 13:30:02.700,0.0,-0.1390529738945582
1900-01-01 13:30:02.800,0.0,-0.0243914531241582
1900-01-01 13:30:02.900,0.0,-8.021161702369824
1900-01-01 13:30:03.000,0.0,0.0
1900-01-01 13:30:03.100,-75.0,-8.847688417571586
1900-01-01 13:30:03.200,48.0,-8.192715399643392
1900-01-01 13:30:03.300,5.0,0.4244170335240311
1900-01-01 13:30:03.400,-163.0,5.014549193417391
1900-01-01 13:30:03.500,-146.0,-4.870223140379512
1900-01-01 13:30:03.600,-32.0,0.3767156948221783
1900-01-01 13:30:03.700,4.0,-0.3979179024727814
1900-01-01 13:30:03.800,0.0,-3.2544268091325206
1900-01-01 13:30:03.900,-90.0,0.4561956562794016
1900-01-01 13:30:04.000,0.0,0.0
1900-01-01 13:30:04.100,-26.0,-11.116276381266507
1900-01-01 13:30:04.200,0.0,3.4756599008857143
1900-01-01 13:30:04.300,-60.0,-7.866581492845047
1900-01-01 13:30:04.400,0.0,6.8501261661455
1900-01-01 13:30:04.500,42.0,-7.573873787154163
