Model,MAE,RMSE,Direction Accuracy,Sharpe,Total Return,Max Drawdown,Trades
LSTM,0.012654971963366887,0.01783680700427798,0.5408163265306123,0.7417981288387501,0.20982183973626234,-0.3753660146394764,13
BiLSTM,0.01323478454277125,0.018785284820054406,0.5374149659863946,0.557999894326217,0.14225772152257132,-0.3595301452139107,62
Attention_BiLSTM,0.01668254030466048,0.02512496460911513,0.5374149659863946,1.295947103650888,0.4501432901625795,-0.25097441342214477,0
